id,race,days_b_screening_arrest,c_charge_degree,is_recid,score_text
1,Other,-1,F,0,1
3,African-American,-1,F,1,1
4,African-American,-1,F,1,1
5,African-American,,F,0,3
6,Other,,F,0,1
7,Other,0,M,0,1
8,Caucasian,-1,F,1,2
9,Other,-1,F,0,1
10,Caucasian,-1,M,0,1
13,Caucasian,428,F,1,1
14,Caucasian,-1,F,0,1
15,African-American,0,M,1,2
16,Caucasian,0,M,0,1
18,African-American,-1,F,0,1
19,Caucasian,-20,F,1,1
20,African-American,22,F,1,1
21,Hispanic,0,M,0,1
22,African-American,-1,F,0,3
23,Caucasian,-1,F,1,2
24,Caucasian,-1,F,1,1
25,African-American,-1,F,1,2
26,African-American,-1,F,1,3
27,Caucasian,0,M,1,1
28,Caucasian,-2,F,0,1
30,Hispanic,0,F,1,1
32,Caucasian,-1,M,0,1
33,Other,-1,M,0,1
37,African-American,-1,F,1,1
38,Caucasian,53,F,0,1
39,African-American,-1,F,1,2
40,African-American,0,F,1,3
41,Caucasian,0,F,1,3
42,African-American,-1,F,1,3
45,Caucasian,-1,F,0,1
50,Other,-1,F,1,1
51,Caucasian,81,M,0,3
52,Caucasian,-1,M,1,2
53,Caucasian,0,M,1,1
54,African-American,0,F,1,3
55,Caucasian,0,M,0,1
56,African-American,-1,F,0,3
57,African-American,-1,M,0,1
59,Caucasian,-1,M,1,1
61,African-American,-1,F,0,1
64,African-American,0,F,1,2
66,Caucasian,-1,M,1,3
67,African-American,-1,F,1,3
68,Caucasian,0,M,0,1
69,African-American,-59,M,1,1
70,African-American,0,F,0,1
71,Caucasian,-24,F,1,1
72,Other,-1,F,0,1
75,Caucasian,302,F,1,2
77,Hispanic,-219,F,0,1
79,African-American,-1,F,1,2
80,African-American,-1,F,1,1
83,Hispanic,0,M,0,2
84,African-American,-1,M,0,1
85,Caucasian,-13,F,0,2
87,African-American,-1,F,0,1
88,African-American,-38,M,1,2
90,African-American,-1,F,1,3
91,Caucasian,-1,M,1,1
93,African-American,-1,F,1,1
95,African-American,70,F,1,3
96,African-American,-1,F,1,3
97,Hispanic,0,M,0,1
98,African-American,0,F,1,2
99,Other,-1,M,0,1
100,African-American,0,M,0,1
101,Hispanic,-1,F,1,1
102,Hispanic,-1,F,0,1
105,African-American,-1,M,0,1
107,African-American,0,F,1,2
108,Caucasian,-1,F,1,2
111,African-American,-15,F,0,1
113,African-American,0,M,1,1
114,Caucasian,-1,F,0,3
115,African-American,-1,F,1,1
116,Caucasian,-43,F,1,2
119,African-American,-1,F,0,1
120,African-American,-1,M,0,1
122,African-American,-1,M,1,3
127,Other,-1,F,1,1
128,African-American,-1,F,1,3
130,Other,-1,F,1,2
131,African-American,0,F,1,3
132,African-American,137,M,1,2
136,African-American,-1,M,0,1
137,African-American,0,F,1,2
138,Caucasian,0,F,1,3
139,Other,0,F,1,2
142,Caucasian,-1,F,1,3
143,African-American,,M,0,2
145,Caucasian,-1,F,0,2
146,Caucasian,-2,F,1,1
147,Caucasian,-64,F,0,1
148,Caucasian,0,M,0,1
150,Hispanic,-2,M,0,1
151,African-American,-10,M,1,1
152,African-American,-137,F,0,1
153,African-American,-1,F,0,1
154,Caucasian,-1,F,1,1
156,Caucasian,-1,F,1,2
157,Caucasian,-1,F,0,1
158,Caucasian,-1,M,0,2
159,Caucasian,-1,F,0,1
160,African-American,178,F,1,3
163,Caucasian,-30,F,0,1
166,African-American,-1,F,1,3
169,Caucasian,-1,M,1,1
171,Caucasian,0,F,0,2
173,African-American,0,F,1,2
174,African-American,0,F,0,1
175,Caucasian,0,F,1,1
176,African-American,0,F,1,3
177,African-American,-1,F,1,1
178,African-American,-1,F,1,3
180,African-American,-1,M,0,2
182,Other,-1,F,0,1
183,Caucasian,-1,F,1,3
184,African-American,-1,F,1,3
187,African-American,67,F,0,3
189,Caucasian,-2,M,0,3
190,African-American,-1,F,1,3
192,Caucasian,-47,M,0,1
193,Caucasian,-36,F,1,2
194,Caucasian,-4,F,0,1
195,Caucasian,-1,F,0,1
197,Caucasian,-20,M,0,1
199,Caucasian,,F,0,1
200,Other,-1,M,0,1
202,Caucasian,-1,M,1,1
203,African-American,-1,M,0,1
206,Caucasian,-1,F,1,1
208,Caucasian,0,M,1,1
209,Hispanic,-35,F,1,2
210,African-American,-1,F,1,2
213,Caucasian,-16,M,1,1
215,African-American,-1,M,1,1
216,Caucasian,-1,F,1,1
218,Caucasian,,F,0,1
220,African-American,0,F,0,3
222,Caucasian,0,M,0,1
223,African-American,-1,F,1,3
224,African-American,-2,F,1,2
225,African-American,-1,M,1,2
227,African-American,-1,F,1,1
228,African-American,-1,F,1,3
229,African-American,-1,F,1,3
231,African-American,0,F,0,2
232,Caucasian,-2,M,0,2
234,African-American,-1,F,1,1
235,Other,-1,F,1,2
236,Hispanic,-26,F,0,1
238,African-American,-7,F,1,3
239,Hispanic,-1,F,0,1
240,Other,,F,0,1
241,African-American,-1,M,1,1
242,African-American,-51,M,0,1
243,Caucasian,-1,M,0,1
244,Caucasian,0,F,1,2
245,African-American,0,F,0,2
246,Caucasian,-1,M,0,1
248,African-American,-1,F,0,1
249,Caucasian,22,F,1,1
251,Caucasian,-56,F,0,2
252,Caucasian,0,F,0,2
254,African-American,-1,M,1,1
257,Hispanic,-1,F,0,1
258,African-American,-1,F,0,2
259,Hispanic,-1,M,0,1
260,African-American,0,F,0,1
262,Caucasian,-110,F,0,3
263,Caucasian,-45,F,0,1
264,Hispanic,29,F,1,3
265,African-American,-1,M,1,2
266,Hispanic,-1,F,0,1
267,Hispanic,-1,F,0,1
268,Caucasian,-1,M,1,1
269,Caucasian,-1,F,0,1
271,Other,-1,F,0,1
272,African-American,-34,F,1,3
275,African-American,0,F,1,2
277,African-American,-1,M,1,3
278,African-American,-1,M,1,1
279,Hispanic,0,F,0,1
280,Caucasian,-35,F,1,2
281,African-American,-10,F,1,1
282,Caucasian,0,M,1,1
285,Other,,M,1,1
286,African-American,289,F,1,3
287,African-American,0,M,1,3
288,Caucasian,0,F,1,1
289,African-American,0,F,1,3
291,Caucasian,-1,F,0,1
293,African-American,-1,F,1,1
294,African-American,0,M,1,1
297,African-American,-1,M,0,1
298,Other,-1,M,1,1
299,Caucasian,-4,F,0,1
300,Caucasian,-1,M,0,1
301,Caucasian,0,M,0,1
302,African-American,-1,F,1,3
